BPM_c,PG_c,NG_c,SG_c,PPG_c,PNG_c,MA_c,TR-c,RR,RD,neck,data
47.53567156,2.918606455,2.117846395,5.03645285,0.338246667,0.923963333,0.058509962,0.585905,14.6354314,0.897821027,0,1
88.75444234,6.121879895,4.624043783,10.74592368,0.314705,0.3613175,0.364524287,0.22826,16.66583337,2.700399339,0,1
64.16597599,3.993004098,2.231984667,6.224988765,0.3409775,0.5940975,0.610413702,0.43392,14.72880586,5.445381923,0,1
80.49117504,8.742599058,5.343956158,14.08655522,0.209426667,0.535996667,0.136567968,0.420134,12.33387808,2.852971591,0,1
73.31355904,4.071536331,2.621469452,6.693005783,0.3438025,0.4746,0.108708178,0.189463333,9.896988841,1.673316191,0,1
87.82227114,5.63861225,4.86891267,10.50752492,0.342842,0.340356,0.135629774,0.1189325,11.66974618,3.133814302,0,1
123.5684085,44.47953141,22.90795743,67.38748884,0.194586,0.290975,0.085976285,0.237676667,10.77025256,2.676681953,0,1
82.8028774,12.43315484,7.560620456,19.9937753,0.2980375,0.426575,0.281839248,0.354409091,6.760548145,3.924703132,0,1
78.36420323,4.707449559,4.24234372,8.949793279,0.325278571,0.440377143,0.090630833,0.128631667,9.930305804,2.116887408,0,1
74.91160431,9.417159659,7.563014172,16.98017383,0.20905,0.591894,0.04606755,0.60342,13.4628157,1.476006116,0,1
93.86684467,8.638436136,29.33231984,37.97075598,0.203023333,0.43618,0.065355046,0.335158,11.52536252,2.331258144,0,1
114.0039616,26.51254203,6.728729409,33.24127144,0.2178075,0.30849,0.101929962,0.34578,24.77710925,0.937919839,0,1
79.40779432,5.767692628,2.555395099,8.323087727,0.262536667,0.493056667,0.091124445,0.03503,19.84205722,0.764711122,0,1
95.36161123,8.262313548,5.061631553,13.3239451,0.312332,0.316852,0.134795479,0.2324975,17.12817585,1.029431345,0,1
118.8524793,9.760763851,20.41014672,30.17091057,0.226565,0.2782625,0.108700513,0.366873333,25.88851542,0.521465921,0,1
77.23250201,5.526210585,18.2637969,23.79000749,0.325628333,0.451246667,0.086906202,0.342842,10.90518487,1.326399888,0,1
97.27757887,22.20178216,13.07490628,35.27668844,0.2712,0.345591667,0.064988407,0.326796,15.2447158,2.240143876,0,1
96.30715562,34.75985684,25.07794468,59.83780152,0.289531111,0.333475556,1.715420975,0.51415,9.841954612,4.734156254,0,1
86.07721536,9.564808178,7.024777052,16.58958523,0.294445714,0.402602857,0.183153717,0.335045,10.77243764,4.143084361,0,1
81.62543449,5.629714269,3.653428006,9.283142274,0.2760025,0.4590625,0.082182747,0.043693333,12.8099747,1.749980023,0,1
69.80369649,3.842312788,18.12891085,21.97122364,0.243138333,0.616415,0.044762155,0.508952,8.565469452,1.06720125,0,1
94.56339293,9.97797198,14.04562369,24.02359567,0.171195,0.4633,0.05455815,0.377872,12.85338783,1.851475915,0,1
